Date,"Total membership","Full Members",Guests,"Daily active members","Daily members posting messages","Weekly active members","Weekly members posting messages","Messages in public channels","Messages in private channels","Messages in shared channels","Messages in DMs","Percent of messages, public channels","Percent of messages, private channels","Percent of messages, DMs","Percent of views, public channels","Percent of views, private channels","Percent of views, DMs","Files uploaded","Messages posted by members",Name,"Public channels, single-workspace","Messages posted","Messages posted by apps"
2016-01-07,0,0,0,8,3,0,0,0,0,0,16,0,0,1,0,0,0,0,16,0,0,0,0
2016-01-08,0,0,0,6,2,0,0,1,0,0,1,0.5,0,0.5,0,0,0,0,2,0,0,0,0
2016-01-09,0,0,0,7,4,0,0,11,0,0,85,0.1146,0,0.8854,0,0,0,0,96,0,0,0,0
2016-01-10,0,0,0,7,4,0,0,14,0,0,3,0.8235,0,0.1765,0,0,0,0,17,0,0,0,0
2016-01-11,0,0,0,11,4,0,0,7,0,0,12,0.3684,0,0.6316,0,0,0,0,19,0,0,0,0
2016-01-12,0,0,0,6,3,0,0,0,0,0,7,0,0,1,0,0,0,0,7,0,0,0,0
2016-01-13,0,0,0,9,3,0,0,2,0,0,7,0.2222,0,0.7778,0,0,0,0,9,0,0,0,0
2016-01-14,0,0,0,10,4,0,0,2,0,0,11,0.1538,0,0.8462,0,0,0,0,13,0,0,0,0
2016-01-15,0,0,0,12,6,0,0,11,0,0,7,0.6111,0,0.3889,0,0,0,0,18,0,0,0,0
2016-01-16,0,0,0,7,2,0,0,0,0,0,20,0,0,1,0,0,0,0,20,0,0,0,0
2016-01-17,0,0,0,3,2,0,0,0,0,0,5,0,0,1,0,0,0,0,5,0,0,0,0
2016-01-18,0,0,0,6,3,0,0,0,0,0,8,0,0,1,0,0,0,1,8,0,0,35746,0
2016-01-19,0,0,0,10,5,0,0,5,0,0,7,0.4167,0,0.5833,0,0,0,0,12,0,0,0,0
2016-01-20,0,0,0,12,4,0,0,3,0,0,3,0.5,0,0.5,0,0,0,0,6,0,0,0,0
2016-01-21,0,0,0,10,3,0,0,0,0,0,22,0,0,1,0,0,0,0,22,0,0,0,0
2016-01-22,0,0,0,3,2,0,0,0,0,0,16,0,0,1,0,0,0,0,16,0,0,0,0
2016-01-23,0,0,0,3,3,0,0,0,0,0,6,0,0,1,0,0,0,0,6,0,0,0,0
2016-01-24,0,0,0,8,2,0,0,2,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0
2016-01-25,0,0,0,6,2,0,0,0,0,0,3,0,0,1,0,0,0,1,3,0,0,122721,0
2016-01-26,0,0,0,11,4,0,0,2,0,0,20,0.0909,0,0.9091,0,0,0,0,22,0,0,0,0
2016-01-27,0,0,0,13,3,0,0,1,0,0,159,0.0063,0,0.9938,0,0,0,0,160,0,0,0,0
2016-01-28,0,0,0,9,5,0,0,0,0,0,43,0,0,1,0,0,0,1,43,0,0,99930,0
2016-01-29,0,0,0,17,6,0,0,6,0,0,5,0.5455,0,0.4545,0,0,0,0,11,0,0,0,0
2016-01-30,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-01-31,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-02-01,0,0,0,9,3,0,0,0,0,0,10,0,0,1,0,0,0,0,10,0,0,0,0
2016-02-02,0,0,0,23,9,0,0,117,0,0,85,0.5792,0,0.4208,0,0,0,3,202,0,0,444610,0
2016-02-03,0,0,0,17,3,0,0,1,0,0,2,0.3333,0,0.6667,0,0,0,0,3,0,0,0,0
2016-02-04,0,0,0,8,2,0,0,0,0,0,2,0,0,1,0,0,0,0,2,0,0,0,0
2016-02-05,0,0,0,9,5,0,0,0,0,0,10,0,0,1,0,0,0,0,10,0,0,0,0
2016-02-06,0,0,0,8,4,0,0,1,0,0,33,0.0294,0,0.9706,0,0,0,3,34,0,0,965716,0
2016-02-07,0,0,0,11,5,0,0,7,0,0,18,0.28,0,0.72,0,0,0,0,25,0,0,0,0
2016-02-08,0,0,0,14,4,0,0,0,0,0,66,0,0,1,0,0,0,1,66,0,0,184993,0
2016-02-09,0,0,0,11,3,0,0,2,0,0,12,0.1429,0,0.8571,0,0,0,0,14,0,0,0,0
2016-02-10,0,0,0,13,3,0,0,7,0,0,4,0.6364,0,0.3636,0,0,0,0,11,0,0,0,0
2016-02-11,0,0,0,8,1,0,0,4,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0
2016-02-12,0,0,0,17,5,0,0,70,0,0,6,0.9211,0,0.0789,0,0,0,1,76,0,0,248469,0
2016-02-13,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-02-14,0,0,0,9,3,0,0,2,0,0,11,0.1538,0,0.8462,0,0,0,0,13,0,0,0,0
2016-02-15,0,0,0,12,5,0,0,13,0,0,19,0.4063,0,0.5938,0,0,0,0,32,0,0,0,0
2016-02-16,0,0,0,16,5,0,0,0,0,0,23,0,0,1,0,0,0,1,23,0,0,363610,0
2016-02-17,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-02-18,0,0,0,15,3,0,0,2,0,0,71,0.0274,0,0.9726,0,0,0,0,73,0,0,0,0
2016-02-19,0,0,0,19,9,0,0,50,0,0,118,0.2976,0,0.7024,0,0,0,0,168,0,0,0,0
2016-02-20,0,0,0,9,3,0,0,2,0,0,4,0.3333,0,0.6667,0,0,0,0,6,0,0,0,0
2016-02-21,0,0,0,11,5,0,0,1,0,0,18,0.0526,0,0.9474,0,0,0,0,19,0,0,0,0
2016-02-22,0,0,0,11,6,0,0,0,0,0,44,0,0,1,0,0,0,0,44,0,0,0,0
2016-02-23,0,0,0,8,7,0,0,4,0,0,86,0.0444,0,0.9556,0,0,0,1,90,0,0,263750,0
2016-02-24,0,0,0,26,12,0,0,38,0,0,19,0.6667,0,0.3333,0,0,0,0,57,0,0,0,0
2016-02-25,0,0,0,22,10,0,0,17,0,0,20,0.4595,0,0.5405,0,0,0,1,37,0,0,118780,0
